,sample,latitude,longitude,date,time_botto,site,location,visibility,image,fov_Limite,fov_Open,mean_relie,sd_relief,broad_Cons,broad_Macr,broad_Seag,broad_Spon,broad_Ston,broad_Unco,broad_Unkn,Total_Sum,Total_adj,Class,geometry,kndavi
0,C531,-32.76659665,115.5525567,7/04/2021,07:09:57,Mandurah,Perth,Good,Top,0.0,100.0,2.94,0.239897937482095,0.0,97.0,0.0,0.0,0.0,3.0,7.0,77.0,72.0,SAV,POINT (115.5525567 -32.76659665),0.0
1,C547,-32.76324364,115.5633417,7/04/2021,07:23:47,Mandurah,Perth,Good,Top,0.0,100.0,2.96153846153846,0.194183909345154,0.0,99.0,0.0,0.0,0.0,1.0,8.0,80.0,74.0,SAV,POINT (115.5633417 -32.76324364),0.0
2,C563,-32.76636044,115.5660562,7/04/2021,07:32:17,Mandurah,Perth,Good,Top,0.0,100.0,0.618181818181818,0.560783482708001,0.0,12.0,0.0,0.0,0.0,88.0,0.0,75.0,75.0,Sand,POINT (115.5660562 -32.76636044),0.0
3,C539,-32.76821772,115.568033,7/04/2021,07:48:52,Mandurah,Perth,Good,Top,0.0,100.0,1.12,0.328260722659316,0.0,13.0,0.0,0.0,0.0,87.0,0.0,78.0,78.0,Sand,POINT (115.568033 -32.76821772),0.0
4,C527,-32.78049273,115.5637257,7/04/2021,08:05:29,Mandurah,Perth,Good,Top,0.0,100.0,0.966666666666667,0.181020334719393,0.0,19.0,0.0,0.0,0.0,81.0,0.0,79.0,79.0,Sand,POINT (115.5637257 -32.78049273),0.0
5,C543,-32.78180705,115.5719847,7/04/2021,08:16:40,Mandurah,Perth,Good,Top,0.0,100.0,2.96666666666667,0.181020334719393,0.0,98.0,0.0,0.0,0.0,2.0,0.0,80.0,80.0,SAV,POINT (115.5719847 -32.78180705),0.0
6,C516,-32.78580484,115.5784373,7/04/2021,08:25:37,Mandurah,Perth,Good,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,77.0,76.0,SAV,POINT (115.5784373 -32.78580484),0.0
7,C514,-32.78854957,115.585758,7/04/2021,08:34:52,Mandurah,Perth,Good,Top,0.0,100.0,2.96078431372549,0.196039211763921,0.0,38.0,61.0,0.0,0.0,2.0,13.0,69.0,61.0,SAV,POINT (115.585758 -32.78854957),0.0
8,C512,-32.77082479,115.5822387,7/04/2021,08:46:53,Mandurah,Perth,Good,Top,0.0,100.0,2.91666666666667,0.278717806785302,0.0,100.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,SAV,POINT (115.5822387 -32.77082479),0.0
9,C503,-32.77256581,115.587531,7/04/2021,08:54:51,Mandurah,Perth,Good,Top,0.0,100.0,1.58333333333333,0.743141902334709,0.0,0.0,61.0,0.0,0.0,39.0,7.0,79.0,74.0,Sand,POINT (115.587531 -32.77256581),0.0
10,C557,-32.77715895,115.5913896,7/04/2021,09:06:16,Mandurah,Perth,Good,Top,0.0,100.0,0.741379310344828,0.663862827396983,0.0,0.0,45.0,0.0,0.0,55.0,0.0,80.0,80.0,Sand,POINT (115.5913896 -32.77715895),0.0
11,C518,-32.77374556,115.5998587,7/04/2021,09:16:45,Mandurah,Perth,Good,Top,0.0,100.0,2.15254237288136,0.886946706054247,0.0,0.0,66.0,0.0,0.0,34.0,1.0,80.0,79.0,Sand,POINT (115.5998587 -32.77374556),0.0
12,C522,-32.78234333,115.6084667,7/04/2021,09:27:09,Mandurah,Perth,Good,Top,0.0,100.0,2.92727272727273,0.325152127048103,0.0,0.0,94.0,0.0,0.0,6.0,10.0,75.0,68.0,SAV,POINT (115.6084667 -32.78234333),0.0
